source_id,province_source_id,province_code,province_name,city_name,city_short_name,city_pinyin,city_short_pinyin,tel_code,source_code,source_table,is_current_admin,enabled
direct-11,11,110000,北京市,北京市,北京,beijingshi,beijing,10,,pvc+city,1,1
direct-12,12,310000,上海市,上海市,上海,shanghaishi,shanghai,21,,pvc+city,1,1
direct-14,14,500000,重庆市,重庆市,重庆,chongqingshi,chongqing,23,,pvc+city,1,1
direct-32,32,120000,天津市,天津市,天津,tianjinshi,tianjin,22,,pvc+city,1,1
13001,13,340000,安徽省,亳州市,亳州,bozhoushi,bozhou,558,ZS,local,1,1
13002,13,340000,安徽省,六安市,六安,luanshi,luan,564,LAS,local,1,1
13003,13,340000,安徽省,合肥市,合肥,hefeishi,hefei,551,HFS,local,1,1
13004,13,340000,安徽省,安庆市,安庆,anqingshi,anqing,556,AQS,local,1,1
13005,13,340000,安徽省,宣城市,宣城,xuanchengshi,xuancheng,563,XCS,local,1,1
13006,13,340000,安徽省,宿州市,宿州,suzhoushi,suzhou,557,SZS,local,1,1
13007,13,340000,安徽省,巢湖市,巢湖,chaohushi,chaohu,565,CHS,local,0,0
13008,13,340000,安徽省,池州市,池州,chizhoushi,chizhou,566,CZS,local,1,1
13009,13,340000,安徽省,淮北市,淮北,huaibeishi,huaibei,561,HBS,local,1,1
13010,13,340000,安徽省,淮南市,淮南,huainanshi,huainan,554,HNS,local,1,1
13011,13,340000,安徽省,滁州市,滁州,chuzhoushi,chuzhou,550,CZS,local,1,1
13012,13,340000,安徽省,芜湖市,芜湖,wuhushi,wuhu,553,WHS,local,1,1
13013,13,340000,安徽省,蚌埠市,蚌埠,bengbushi,bengbu,552,BBS,local,1,1
13014,13,340000,安徽省,铜陵市,铜陵,tonglingshi,tongling,562,TLS,local,1,1
13015,13,340000,安徽省,阜阳市,阜阳,fuyangshi,fuyang,558,FYS,local,1,1
13016,13,340000,安徽省,马鞍山市,马鞍山,maanshanshi,maanshan,555,MASS,local,1,1
13017,13,340000,安徽省,黄山市,黄山,huangshanshi,huangshan,559,HSS,local,1,1
15001,15,420000,湖北省,十堰市,十堰,shiyanshi,shiyan,719,SYS,local,1,1
15002,15,420000,湖北省,咸宁市,咸宁,xianningshi,xianning,715,XNS,local,1,1
15003,15,420000,湖北省,孝感市,孝感,xiaoganshi,xiaogan,712,GS,local,1,1
15004,15,420000,湖北省,宜昌市,宜昌,yichangshi,yichang,717,YCS,local,1,1
15005,15,420000,湖北省,恩施土家族苗族自治州,恩施土家族苗族,enshitujiazumiaozuzizhizhou,enshitujiazumiaozu,718,ESTJZMZZZZ,local,1,1
15006,15,420000,湖北省,武汉市,武汉,wuhanshi,wuhan,27,WHS,local,1,1
15008,15,420000,湖北省,荆州市,荆州,jingzhoushi,jingzhou,716,JZS,local,1,1
15009,15,420000,湖北省,荆门市,荆门,jingmenshi,jingmen,714,JMS,local,1,1
15010,15,420000,湖北省,襄樊市,襄樊,xiangfanshi,xiangfan,710,XFS,local,1,1
15011,15,420000,湖北省,鄂州市,鄂州,ezhoushi,ezhou,711,EZS,local,1,1
15012,15,420000,湖北省,随州市,随州,suizhoushi,suizhou,722,SZS,local,1,1
15013,15,420000,湖北省,黄冈市,黄冈,huanggangshi,huanggang,713,HGS,local,1,1
15014,15,420000,湖北省,黄石市,黄石,huangshishi,huangshi,714,HSS,local,1,1
16001,16,220000,吉林省,吉林市,吉林,jilinshi,jilin,423,JLS,local,1,1
16002,16,220000,吉林省,四平市,四平,sipingshi,siping,434,SPS,local,1,1
16003,16,220000,吉林省,延边朝鲜族自治州,延边朝鲜族,yanbianchaoxianzuzizhizhou,yanbianchaoxianzu,433,YBCXZZZZ,local,1,1
16004,16,220000,吉林省,松原市,松原,songyuanshi,songyuan,438,SYS,local,1,1
16005,16,220000,吉林省,白城市,白城,baichengshi,baicheng,436,BCS,local,1,1
16006,16,220000,吉林省,白山市,白山,baishanshi,baishan,439,BSS,local,1,1
16007,16,220000,吉林省,辽源市,辽源,liaoyuanshi,liaoyuan,437,LYS,local,1,1
16008,16,220000,吉林省,通化市,通化,tonghuashi,tonghua,435,THS,local,1,1
16009,16,220000,吉林省,长春市,长春,changchunshi,changchun,431,CCS,local,1,1
17001,17,150000,内蒙古自治区,乌兰察布市,乌兰察布,wulanchabushi,wulanchabu,474,WLCBS,local,1,1
17002,17,150000,内蒙古自治区,乌海市,乌海,wuhaishi,wuhai,473,WHS,local,1,1
17003,17,150000,内蒙古自治区,兴安盟,兴安,xinganmeng,xingan,482,XAM,local,1,1
17004,17,150000,内蒙古自治区,包头市,包头,baotoushi,baotou,472,BTS,local,1,1
17005,17,150000,内蒙古自治区,呼伦贝尔市,呼伦贝尔,hulunbeiershi,hulunbeier,470,HLBES,local,1,1
17006,17,150000,内蒙古自治区,呼和浩特市,呼和浩特,huhehaoteshi,huhehaote,471,HHHTS,local,1,1
17007,17,150000,内蒙古自治区,巴彦淖尔市,巴彦淖尔,bayannaoershi,bayannaoer,478,BYNES,local,1,1
17008,17,150000,内蒙古自治区,赤峰市,赤峰,chifengshi,chifeng,476,CFS,local,1,1
17009,17,150000,内蒙古自治区,通辽市,通辽,tongliaoshi,tongliao,475,TLS,local,1,1
17010,17,150000,内蒙古自治区,鄂尔多斯市,鄂尔多斯,eerduosishi,eerduosi,477,EEDSS,local,1,1
17011,17,150000,内蒙古自治区,锡林郭勒盟,锡林郭勒,xilinguoleimeng,xilinguolei,479,XLGLM,local,1,1
17012,17,150000,内蒙古自治区,阿拉善盟,阿拉善,alashanmeng,alashan,483,ALSM,local,1,1
18001,18,640000,宁夏回族自治区,中卫市,中卫,zhongweishi,zhongwei,955,ZWS,local,1,1
