source_id,province_source_id,province_code,province_name,city_name_raw,city_name_admin,city_short_name_admin,tel_code,source_code,city_pinyin,is_current_admin,enabled
1,11,110000,北京市,北京,北京市,北京,10,,beijingshi,1,1
2,32,120000,天津市,天津,天津市,天津,22,,tianjinshi,1,1
3,28,130000,河北省,石家庄,石家庄市,石家庄,311,,shijiazhuangshi,1,1
4,28,130000,河北省,张家口,张家口市,张家口,313,,zhangjiakoushi,1,1
6,28,130000,河北省,秦皇岛,秦皇岛市,秦皇岛,335,,qinhuangdaoshi,1,1
7,28,130000,河北省,唐山,唐山市,唐山,315,,tangshanshi,1,1
8,28,130000,河北省,廊坊,廊坊市,廊坊,316,,langfangshi,1,1
9,28,130000,河北省,保定,保定市,保定,312,,baodingshi,1,1
10,28,130000,河北省,沧州,沧州市,沧州,317,,cangzhoushi,1,1
11,28,130000,河北省,衡水,衡水市,衡水,318,,hengshuishi,1,1
12,28,130000,河北省,邢台,邢台市,邢台,319,,xingtaishi,1,1
13,28,130000,河北省,邯郸,邯郸市,邯郸,310,,handanshi,1,1
14,19,140000,山西省,太原,太原市,太原,351,,taiyuanshi,1,1
15,19,140000,山西省,大同,大同市,大同,352,,datongshi,1,1
16,19,140000,山西省,朔州,朔州市,朔州,349,,shuozhoushi,1,1
17,19,140000,山西省,阳泉,阳泉市,阳泉,353,,yangquanshi,1,1
18,19,140000,山西省,长治,长治市,长治,355,,zhangzhishi,1,1
19,19,140000,山西省,晋城,晋城市,晋城,356,,jinchengshi,1,1
20,19,140000,山西省,忻州,忻州市,忻州,350,,xinzhoushi,1,1
21,19,140000,山西省,离石，吕梁,吕梁市,吕梁,358,,lvliangshi,1,1
22,19,140000,山西省,榆次，晋中,晋中市,晋中,354,,jinzhongshi,1,1
23,19,140000,山西省,临汾,临汾市,临汾,357,,linfenshi,1,1
24,19,140000,山西省,运城,运城市,运城,359,,yunchengshi,1,1
25,17,150000,内蒙古自治区,呼和浩特,呼和浩特市,呼和浩特,471,,huhehaoteshi,1,1
26,17,150000,内蒙古自治区,包头,包头市,包头,472,,baotoushi,1,1
27,17,150000,内蒙古自治区,乌海,乌海市,乌海,473,,wuhaishi,1,1
28,17,150000,内蒙古自治区,赤峰,赤峰市,赤峰,476,,chifengshi,1,1
29,17,150000,内蒙古自治区,海拉尔,呼伦贝尔市,呼伦贝尔,470,,hulunbeiershi,1,1
30,17,150000,内蒙古自治区,乌兰浩特，兴安盟,兴安盟,兴安,482,,xinganmeng,1,1
31,17,150000,内蒙古自治区,通辽,通辽市,通辽,475,,tongliaoshi,1,1
32,17,150000,内蒙古自治区,锡林浩特,锡林郭勒盟,锡林郭勒,479,,xilinguoleimeng,1,1
33,17,150000,内蒙古自治区,集宁，乌兰察布盟,乌兰察布市,乌兰察布,474,,wulanchabushi,1,1
34,17,150000,内蒙古自治区,东胜，鄂尔多斯,鄂尔多斯市,鄂尔多斯,477,,eerduosishi,1,1
35,17,150000,内蒙古自治区,临河，巴彦卓尔盟,巴彦淖尔市,巴彦淖尔,478,,bayannaoershi,1,1
36,17,150000,内蒙古自治区,阿拉善左旗,阿拉善盟,阿拉善,483,,alashanmeng,1,1
37,22,210000,辽宁省,沈阳,沈阳市,沈阳,24,,shenyangshi,1,1
38,22,210000,辽宁省,朝阳,朝阳市,朝阳,421,,zhaoyangshi,1,1
39,22,210000,辽宁省,阜新,阜新市,阜新,418,,fuxinshi,1,1
40,22,210000,辽宁省,铁岭,铁岭市,铁岭,410,,tielingshi,1,1
41,22,210000,辽宁省,抚顺,抚顺市,抚顺,413,,fushunshi,1,1
42,22,210000,辽宁省,本溪,本溪市,本溪,414,,benxishi,1,1
43,22,210000,辽宁省,辽阳,辽阳市,辽阳,419,,liaoyangshi,1,1
44,22,210000,辽宁省,鞍山,鞍山市,鞍山,412,,anshanshi,1,1
45,22,210000,辽宁省,丹东,丹东市,丹东,415,,dandongshi,1,1
46,22,210000,辽宁省,大连,大连市,大连,411,,dalianshi,1,1
47,22,210000,辽宁省,营口,营口市,营口,417,,yingkoushi,1,1
48,22,210000,辽宁省,盘锦,盘锦市,盘锦,427,,panjinshi,1,1
49,22,210000,辽宁省,锦州,锦州市,锦州,416,,jinzhoushi,1,1
50,22,210000,辽宁省,葫芦岛,葫芦岛市,葫芦岛,429,,huludaoshi,1,1
51,16,220000,吉林省,长春,长春市,长春,431,,changchunshi,1,1
52,16,220000,吉林省,白城,白城市,白城,436,,baichengshi,1,1
53,16,220000,吉林省,松原,松原市,松原,438,,songyuanshi,1,1
54,16,220000,吉林省,吉林,,,432,,jilin,0,0
