source_id,province_code,province_name,province_short_name,province_alias_name,province_abbr,province_pinyin,province_short_pinyin,region_name,capital_name,is_current_admin,enabled
11,110000,北京市,北京,北京,京,beijingshi,beijing,华北,北京,1,1
12,310000,上海市,上海,上海,沪,shanghaishi,shanghai,华东,上海,1,1
13,340000,安徽省,安徽,安徽,皖,anhuisheng,anhui,华东,合肥,1,1
14,500000,重庆市,重庆,重庆,渝,chongqingshi,chongqing,西南,重庆,1,1
15,420000,湖北省,湖北,湖北,鄂,hubeisheng,hubei,中南,武汉,1,1
16,220000,吉林省,吉林,吉林,吉,jilinsheng,jilin,东北,长春,1,1
17,150000,内蒙古自治区,内蒙古,内蒙,蒙,neimengguzizhiqu,neimenggu,华北,呼和浩特,1,1
18,640000,宁夏回族自治区,宁夏,宁夏,宁,ningxiahuizuzizhiqu,ningxia,西北,银川,1,1
19,140000,山西省,山西,山西,晋,shanxisheng,shanxi,华北,太原,1,1
20,350000,福建省,福建,福建,闽,fujiansheng,fujian,华东,福州,1,1
21,330000,浙江省,浙江,浙江,浙,zhejiangsheng,zhejiang,华东,杭州,1,1
22,210000,辽宁省,辽宁,辽宁,辽,liaoningsheng,liaoning,东北,沈阳,1,1
23,410000,河南省,河南,河南,豫,henansheng,henan,中南,郑州,1,1
24,620000,甘肃省,甘肃,甘肃,甘,gansusheng,gansu,西北,兰州,1,1
25,650000,新疆维吾尔自治区,新疆,新疆,新,xinjiangweiwuerzizhiqu,xinjiang,西北,乌鲁木齐,1,1
26,230000,黑龙江省,黑龙江,黑龙江,黑,heilongjiangsheng,heilongjiang,东北,哈尔滨,1,1
27,063000,青海省,青海,青海,青,qinghaisheng,qinghai,西北,西宁,1,1
28,130000,河北省,河北,河北,冀,hebeisheng,hebei,华北,石家庄,1,1
29,510000,四川省,四川,四川,川,sichuansheng,sichuan,西南,成都,1,1
30,360000,江西省,江西,江西,赣,jiangxisheng,jiangxi,华东,南昌,1,1
31,320000,江苏省,江苏,江苏,苏,jiangsusheng,jiangsu,华东,南京,1,1
32,120000,天津市,天津,天津,津,tianjinshi,tianjin,华北,天津,1,1
33,540000,西藏自治区,西藏,西藏,藏,xizangzizhiqu,xizang,西南,拉萨,1,1
34,460000,海南省,海南,海南,琼,hainansheng,hainan,中南,海口,1,1
35,520000,贵州省,贵州,贵州,贵,guizhousheng,guizhou,西南,贵阳,1,1
36,440000,广东省,广东,广东,粤,guangdongsheng,guangdong,中南,广州,1,1
37,430000,湖南省,湖南,湖南,湘,hunansheng,hunan,中南,长沙,1,1
38,370000,山东省,山东,山东,鲁,shandongsheng,shandong,华东,济南,1,1
39,610000,陕西省,陕西,陕西,陕,shanxisheng,shanxi,西北,西安,1,1
40,530000,云南省,云南,云南,云,yunnansheng,yunnan,西南,昆明,1,1
41,450000,广西壮族自治区,广西,广西,桂,guangxizhuangzuzizhiqu,guangxi,中南,南宁,1,1
42,810000,香港特别行政区,香港,香港,港,xianggangtebiexingzhengqu,xianggang,港澳台,香港,1,1
43,820000,澳门特别行政区,澳门,澳门,澳,aomentebiexingzhengqu,aomen,港澳台,澳门,1,1
44,071000,台湾省,台湾,台湾,台,taiwansheng,taiwan,港澳台,台湾,1,1
