source_id,province_source_id,city_source_id,county_source_id,province_code,province_name,city_name,county_name,town_name,town_short_name,town_pinyin,town_short_pinyin,zip,source_code,area_type,source_table,is_current_admin,enabled
1200201,12,direct-12,12002,310000,上海市,上海市,卢湾区,五里桥街道,五里桥,wuliqiaojiedao,wuliqiao,200000,WLQJD,0,local_county,0,0
1200202,12,direct-12,12002,310000,上海市,上海市,卢湾区,打浦桥街道,打浦桥,dapuqiaojiedao,dapuqiao,200000,DPQJD,0,local_county,0,0
1200203,12,direct-12,12002,310000,上海市,上海市,卢湾区,淮海中路街道,淮海中路,huaihaizhonglujiedao,huaihaizhonglu,200000,HHZLJD,0,local_county,0,0
1200204,12,direct-12,12002,310000,上海市,上海市,卢湾区,瑞金二路街道,瑞金二路,ruijinerlujiedao,ruijinerlu,200000,RJELJD,0,local_county,0,0
1200301,12,direct-12,12003,310000,上海市,上海市,嘉定区,华亭镇,华亭,huatingzhen,huating,200000,HTZ,0,local_county,1,1
1200302,12,direct-12,12003,310000,上海市,上海市,嘉定区,南翔镇,南翔,nanxiangzhen,nanxiang,200000,NXZ,0,local_county,1,1
1200303,12,direct-12,12003,310000,上海市,上海市,嘉定区,嘉定工业区,嘉定工业区,jiadinggongyequ,jiadinggongyequ,200000,JDGYQ,0,local_county,1,1
1200304,12,direct-12,12003,310000,上海市,上海市,嘉定区,嘉定镇街道,嘉定镇,jiadingzhenjiedao,jiadingzhen,200000,JDZJD,0,local_county,1,1
1200305,12,direct-12,12003,310000,上海市,上海市,嘉定区,外冈镇,外冈,waigangzhen,waigang,200000,WGZ,0,local_county,1,1
1200306,12,direct-12,12003,310000,上海市,上海市,嘉定区,安亭镇,安亭,antingzhen,anting,200000,ATZ,0,local_county,1,1
1200307,12,direct-12,12003,310000,上海市,上海市,嘉定区,徐行镇,徐行,xuxingzhen,xuxing,200000,XXZ,0,local_county,1,1
1200308,12,direct-12,12003,310000,上海市,上海市,嘉定区,新成路街道,新成路,xinchenglujiedao,xinchenglu,200000,XCLJD,0,local_county,1,1
1200309,12,direct-12,12003,310000,上海市,上海市,嘉定区,江桥镇,江桥,jiangqiaozhen,jiangqiao,200000,JQZ,0,local_county,1,1
1200310,12,direct-12,12003,310000,上海市,上海市,嘉定区,真新街道,真新,zhenxinjiedao,zhenxin,200000,ZXJD,0,local_county,1,1
